title,season,episode,og_date,month,color_list,subject
Western Expanse,6,11,July 9 1985,July,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'DECIDUOUS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE']"
Marshlands,6,12,July 16 1985,July,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'DECIDUOUS', 'LAKE', 'TREE', 'TREES']"
Blaze of Color,6,13,July 23 1985,July,"['Alizarin Crimson', 'Bright Red', 'Burnt Umber', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'HILLS', 'RIVER', 'TREE', 'TREES']"
Winter Cabin,7,1,October 2 1985,October,"['Bright Red', 'Dark Sienna', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'DECIDUOUS', 'SNOW', 'STRUCTURE', 'TREE', 'WINTER']"
Secluded Lake,7,2,October 9 1985,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'DECIDUOUS', 'GRASS', 'LAKE', 'ROCKS', 'TREE', 'TREES']"
Evergreens at Sunset,7,3,October 16 1985,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Sap Green', 'Titanium White']","['CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'RIVER', 'SUN', 'TREE', 'TREES']"
Mountain Cabin,7,4,October 23 1985,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES']"
Portrait of Sally,7,5,October 30 1985,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Phthalo Blue', 'Titanium White', 'Yellow Ochre']","['GUEST', 'PORTRAIT']"
Misty Waterfall,7,6,November 6 1985,November,"['Alizarin Crimson', 'Bright Red', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'LAKE', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Barn at Sunset,7,7,November 13 1985,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'PATH', 'SNOW', 'STRUCTURE', 'TREE', 'TREES']"
Mountain Splendor,7,8,November 20 1985,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Lake by Mountain,7,9,November 27 1985,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GUEST', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']"
Mountain Glory,7,10,December 6 1985,December,"['Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Grey Winter,7,11,December 13 1985,December,"['Alizarin Crimson', 'Midnight Black', 'Titanium White']","['BUSHES', 'CLOUDS', 'LAKE', 'SNOW', 'TREE', 'TREES', 'WINTER']"
Dock Scene,7,12,December 20 1985,December,"['Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BOAT', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'DOCK', 'LAKE', 'STRUCTURE', 'TREE']"
Dark Waterfall,7,13,December 27 1985,December,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Misty Rolling Hills,8,1,January 2 1986,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'FOG', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'TREE', 'TREES']"
Lakeside Cabin,8,2,January 9 1986,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CABIN', 'CIRCLE_FRAME', 'CLOUDS', 'DECIDUOUS', 'FRAMED', 'GRASS', 'LAKE', 'STRUCTURE', 'TREE', 'TREES']"
Warm Winter Day,8,3,January 16 1986,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'GRASS', 'SNOW', 'STRUCTURE', 'SUN', 'TREE', 'TREES', 'WINTER']"
Waterside Way,8,4,January 23 1986,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'LAKE', 'PATH', 'ROCKS', 'TREE', 'TREES']"
Hunter's Haven,8,5,January 30 1986,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'PATH', 'RIVER', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']"
Bubbling Mountain Brook,8,6,February 6 1986,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE', 'TREES']"
Winter Hideaway,8,7,February 13 1986,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FENCE', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Foot of the Mountain,8,8,February 20 1986,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Majestic Pine,8,9,February 27 1986,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'FRAMED', 'RECTANGULAR_FRAME', 'TREE', 'TREES']"
Cactus at Sunset,8,10,March 6 1986,March,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CACTUS', 'CLOUDS', 'PATH', 'ROCKS']"
Mountain Range,8,11,March 13 1986,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Indian Yellow', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GUEST', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']"
Lonely Retreat,8,12,March 20 1986,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'SNOW', 'STRUCTURE', 'TREE', 'WINTER']"
Northern Lights,8,13,March 27 1986,March,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Titanium White', 'Van Dyke Brown']","['AURORA_BOREALIS', 'CABIN', 'CONIFER', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'NIGHT', 'SNOW', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Winter Evergreens,9,1,April 30 1986,April,"['Alizarin Crimson', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'SUN', 'TREE', 'TREES', 'WINTER']"
Surf's Up,9,2,May 7 1986,May,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLIFF', 'CLOUDS', 'CUMULUS', 'OCEAN', 'ROCKS', 'WAVES']"
Red Sunset,9,3,May 14 1986,May,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'LAKE', 'TREE', 'TREES']"
Meadow Road,9,4,May 21 1986,May,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Winter Oval,9,5,May 28 1986,May,"['Alizarin Crimson', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CABIN', 'CONIFER', 'FOG', 'FRAMED', 'MOUNTAIN', 'OVAL_FRAME', 'RIVER', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES']"
Secluded Beach,9,6,June 4 1986,June,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'CUMULUS', 'OCEAN', 'ROCKS', 'WAVES']"
Forest Hills,9,7,June 11 1986,June,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CONIFER', 'DECIDUOUS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Little House by the Road,9,8,June 18 1986,June,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'FENCE', 'MOUNTAIN', 'PATH', 'STRUCTURE', 'TREE', 'TREES']"
Mountain Path,9,9,June 25 1986,June,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Country Charm,9,10,July 2 1986,July,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']",[]
Nature's Paradise,9,11,July 9 1986,July,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'TREE', 'TREES']"
Mountain by the Sea,9,12,July 16 1986,July,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'MOUNTAIN', 'OCEAN', 'SNOWY_MOUNTAIN', 'TREE', 'WAVES']"
Mountain Hideaway,9,13,July 23 1986,July,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Towering Peaks,10,1,September 3 1986,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'HILLS', 'LAKE', 'MOUNTAIN', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Cabin at Sunset,10,2,September 10 1986,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CONIFER', 'FENCE', 'GRASS', 'STRUCTURE', 'TREE', 'TREES']"
Twin Falls,10,3,September 17 1986,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'DECIDUOUS', 'GRASS', 'HILLS', 'RIVER', 'ROCKS', 'TREE', 'TREES', 'WATERFALL']"
Secluded Bridge,10,4,September 24 1986,September,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BRIDGE', 'DECIDUOUS', 'RIVER', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']"
Ocean Breeze,10,5,October 1 1986,October,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Phthalo Green', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CUMULUS', 'OCEAN', 'ROCKS', 'WAVES']"
Autumn Woods,10,6,October 8 1986,October,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Winter Solitude,10,7,October 15 1986,October,"['Alizarin Crimson', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'DECIDUOUS', 'SNOW', 'TREE', 'TREES', 'WINTER']"
Golden Sunset,10,8,October 22 1986,October,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['DECIDUOUS', 'LAKE', 'SNOW', 'SUN', 'TREE', 'TREES']"
Mountain Oval,10,9,October 29 1986,October,"['Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CIRRUS', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'FRAMED', 'GUEST', 'LAKE', 'MOUNTAIN', 'MOUNTAINS', 'OVAL_FRAME', 'SNOWY_MOUNTAIN', 'STEVE_ROSS', 'TREE', 'TREES']"
Ocean Sunset,10,10,November 5 1986,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BEACH', 'CLOUDS', 'OCEAN', 'ROCKS', 'WAVES']"
Triple View,10,11,November 12 1986,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CONIFER', 'DECIDUOUS', 'FRAMED', 'GRASS', 'MOUNTAIN', 'MOUNTAINS', 'PATH', 'SNOWY_MOUNTAIN', 'STRUCTURE', 'TREE', 'TREES', 'TRIPLE_FRAME']"
Winter Frost,10,12,November 19 1986,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['CLOUDS', 'CONIFER', 'DECIDUOUS', 'MOUNTAIN', 'MOUNTAINS', 'SNOW', 'SNOWY_MOUNTAIN', 'SUN', 'TREE', 'TREES', 'WINTER']"
Lakeside Cabin,10,13,November 26 1986,November,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'PATH', 'ROCKS', 'STRUCTURE', 'TREE', 'TREES']"
Mountain Stream,11,1,December 31 1986,December,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'GRASS', 'MOUNTAIN', 'RIVER', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Country Cabin,11,2,January 7 1987,January,"['Alizarin Crimson', 'Bright Red', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BUSHES', 'CABIN', 'CLOUDS', 'CONIFER', 'DECIDUOUS', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Daisy Delight,11,3,January 14 1987,January,"['Alizarin Crimson', 'Cadmium Yellow', 'Dark Sienna', 'Liquid Clear', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CONIFER', 'FENCE', 'FLOWERS', 'TREE', 'TREES']"
Hidden Stream,11,4,January 21 1987,January,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'DECIDUOUS', 'RIVER', 'TREE', 'TREES', 'WATERFALL']"
Towering Glacier,11,5,January 28 1987,January,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'CUMULUS', 'GRASS', 'MOUNTAIN', 'RIVER', 'ROCKS', 'SNOWY_MOUNTAIN', 'TREE', 'TREES', 'WATERFALL']"
Oval Barn,11,6,February 4 1987,February,"['Bright Red', 'Dark Sienna', 'Midnight Black', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown']","['BARN', 'BUSHES', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'FRAMED', 'OVAL_FRAME', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Lakeside Path,11,7,February 11 1987,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'GRASS', 'LAKE', 'PATH', 'ROCKS', 'TREE', 'TREES']"
Sunset Oval,11,8,February 18 1987,February,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'CLOUDS', 'CONIFER', 'CUMULUS', 'DECIDUOUS', 'FRAMED', 'LAKE', 'MOUNTAIN', 'OVAL_FRAME', 'SNOWY_MOUNTAIN', 'TREE', 'TREES']"
Winter Barn,11,9,February 25 1987,February,"['Alizarin Crimson', 'Dark Sienna', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['BARN', 'CIRRUS', 'CLOUDS', 'DECIDUOUS', 'SNOW', 'STRUCTURE', 'TREE', 'TREES', 'WINTER']"
Sunset over the Waves,11,10,March 4 1987,March,"['Alizarin Crimson', 'Black Gesso', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Phthalo Blue', 'Titanium White', 'Van Dyke Brown']","['BEACH', 'CLOUDS', 'OCEAN', 'ROCKS', 'SUN', 'WAVES']"
Golden Glow,11,11,March 11 1987,March,"['Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Liquid Clear', 'Prussian Blue', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CLOUDS', 'CONIFER', 'LAKE', 'SNOW', 'TREE', 'TREES', 'WATERFALL']"
Roadside Barn,11,12,March 18 1987,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BARN', 'CLOUDS', 'CUMULUS', 'DECIDUOUS', 'FENCE', 'LAKE', 'PATH', 'STRUCTURE', 'TREE', 'TREES']"
Happy Accident,11,13,March 25 1987,March,"['Alizarin Crimson', 'Bright Red', 'Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Prussian Blue', 'Sap Green', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['BUSHES', 'DECIDUOUS', 'GRASS', 'RIVER', 'ROCKS', 'TREE', 'TREES']"
Golden Knoll,12,1,April 29 1987,April,"['Cadmium Yellow', 'Dark Sienna', 'Indian Yellow', 'Midnight Black', 'Titanium White', 'Van Dyke Brown', 'Yellow Ochre']","['CABIN', 'DECIDUOUS', 'FOG', 'GRASS', 'STRUCTURE', 'SUN', 'TREE']"
